ID	Mean	Parity	Sex	Herd	YearSeason	BirthWeight	DAY115	BF115	LMA115	LEAN115
31116154	1	1	1	3	162	30	168.27	7.23	29.21	52.66
31116155	1	0	1	3	151	39	169.27	17.03		
31116156	1	2	1	3	133	39	170.27	14.58		
31116157	1	3	1	1	112	45	171.27	9.15	23.38	49.7
31116158	1	5	1	1	164	38	172.27	12.1		
31116159	1	0	1	1	124	50	173.27	9.28		
31116160	1	1	1	3	113	49	174.27	10.21	24.56	
31116161	1	3	1	1	181	41	175.27	10.78		
31116162	1	1	1	4	143	46	176.27	8.79		
31116164	1	2	1	1	132	43	177.27	11.67		50.17
31116165	1	2	1	1	181	48	178.27	10.03	25.68	
31116166	1	0	1	3	143	34	179.27	12.44		
31116167	1	4	1	1	142	45	180.27	9.11		
31116168	1	0	1	3	122	43	181.27			
31116169	1	2	1	3	141	30	182.27	12.93	30.47	51.16
31116170	1	1	1	4	142	31	183.27	11.6		
31116171	1	1	1	3	163	38	184.27	11.51		
31116172	1	1	1	2	122	31	185.27	10.87		
31116173	1	2	1	3	164	36	186.27	12.17	32.45	
31116174	1	2	1	2	141	48	187.27	12.43		45.67
31116175	1	1	1	1	113	41	188.27	12.26		
31116176	1	2	1	2	133	33	189.27	11.15	31.87	
31116177	1	4	1	4	183	40	190.27	14.42		
31116178	1	3	1	3	151	43	191.27	11.55	21.45	
31116413	1	4	1	1	163	44	192.27	9.87		
31116414	1	3	1	2	143	43	193.27	10.24		50.23
31116415	1	2	1	1	184	43	194.27	12.03		
31116416	1	2	1	1	184	42	195.27	12.27		
31116417	1	1	1	2	173	39	196.27	11.99	26.78	
31116418	1	4	1	2	131	35	197.27	12.38		
31116419	1	2	1	3	151	31	198.27	11.48		
31116420	1	0	1	1	163	32	199.27	9.87		
31116421	1	1	1	2	172	34	200.27	11.65	28.72	50.92
31116422	1	0	1	1	144	35	201.27	12.67		
31116423	1	4	1	4	134	37	202.27	13.46		
31116424	1	4	1	2	121	43	203.27	9.56	27.08	51.01
31116425	1	2	1	1	181	47	204.27	12.5		
31116426	1	1	1	3	124	50	205.27	13.78		
