"ID" "Mean" "Parity" "Sex" "Herd" "YearSeason" "dam" "BirthWeight" "DAY115" "BF115" "LMA115" "LEAN115"
"DDTCZZC18219704" 1 1 "公" "育2" 183 "DDTCZZC17211397" 1.7 168.27 7.23 29.21 52.66
"DDTCZZC14200392" 1 0 "母" "育1" 141 "DDTCZZC13020351" 1.4 204.92 17.03 NA NA
"DDTCZZC14200044" 1 0 "母" "育1" 141 "DDTCZZC13020487" 1.75 181.93 14.58 NA NA
"DDTCZZC18218939" 1 1 "母" "育1" 184 "DDTCZZC17217122" 1.5 207.63 9.15 23.38 49.7
"DDTCZZC15201426" 1 3 "母" "育1" 154 "DDTCZZC13020412" 1.7 163.65 12.1 NA NA
"DDTCZZC18216112" 1 1 "母" "育2" 183 "DDTCZZC17210993" 2 199.13 9.28 NA NA
"DDTCZZC16207157" 1 0 "母" "育1" 162 "DDTCZZC15201695" 1.6 185.37 10.21 NA NA
"DDTCZZC16207526" 1 4 "母" "育3" 163 "DDTCZZC14200924" 1.7 158.07 10.78 NA NA
"DDTCZZC16207783" 1 0 "母" "育1" 162 "DDTCZZC15202726" 1.7 184.94 8.79 NA NA
"DDTCZZC15203498" 1 4 "母" "育1" 151 "DDTCZZC13020394" 1.35 185.55 11.67 NA NA
"DDTCZZC16207229" 1 0 "公" "育1" 161 "DDTCZZC14200378" 0 179.73 10.03 NA NA
"DDTCZZC15203793" 1 3 "母" "育1" 154 "DDTCZZC13020338" 1.9 176.37 12.44 NA NA
"DDTCZZC16212014" 1 5 "母" "育3" 163 "DDTCZZC14200186" 0 157.8 9.11 NA NA
"DDTCZZC18210320" 1 2 "母" "育2" 184 "DDTCZZC16214701" 1.4 223.04 NA NA NA
"DDTCZZC19227088" 1 3 "母" "育肥02" 193 "DDTCZZC17217591" 1.8 143.63 12.93 30.47 51.16
"DDTCZZC17217159" 1 2 "公" "育3" 173 "DDTCZZC16207039" 1.3 169.67 11.6 NA NA
"DDTCZZC18218213" 1 2 "母" "育2" 182 "DDTCZZC16212259" 1.4 210.92 11.51 NA NA
"DDTCZZC14200224" 1 0 "母" "育1" 141 "DDTCZZC13020372" 0 164.49 10.87 NA NA
"DDTCZZC18216450" 1 2 "母" "育3" 181 "DDTCZZC17212716" 1.2 234.51 12.17 NA NA
